Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tristan Thompson\thomptr01,28:28,2,5,.400,0,0,,3,6,.500,4,7,11,0,1,0,0,1,7,-12
DeAndre Liggins\liggide01,24:44,3,9,.333,1,2,.500,3,3,1.000,1,2,3,1,2,0,2,3,10,-5
J.R. Smith\smithjr01,24:30,4,15,.267,0,3,.000,0,1,.000,0,2,2,2,1,0,1,0,8,-9
Mike Dunleavy\dunlemi02,23:17,3,6,.500,2,4,.500,3,5,.600,1,5,6,0,1,0,0,1,11,+1
Channing Frye\fryech01,22:37,0,4,.000,0,2,.000,0,0,,0,3,3,0,1,0,0,2,0,-7
James Jones\jonesja02,25:23,5,8,.625,3,5,.600,2,3,.667,0,2,2,0,1,1,1,2,15,-1
Kay Felder\feldeka01,23:16,4,8,.500,2,2,1.000,4,6,.667,1,2,3,4,2,0,2,1,14,-3
Iman Shumpert\shumpim01,22:16,2,5,.400,0,2,.000,1,2,.500,0,5,5,3,0,0,5,0,5,-3
Chris Andersen\anderch01,19:32,1,3,.333,0,0,,0,0,,0,4,4,0,1,1,0,4,2,+4
Jordan McRae\mcraejo01,16:25,3,9,.333,0,3,.000,3,3,1.000,0,1,1,0,0,0,0,1,9,-1
Richard Jefferson\jefferi01,9:32,1,3,.333,1,2,.500,1,2,.500,0,0,0,0,1,0,1,1,4,-4
Kevin Love\loveke01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
LeBron James\jamesle01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,28,75,.373,9,25,.360,20,31,.645,7,33,40,10,11,2,12,16,85
